facility_id,lat,lon,geo_source
FA0324616,34.046095391956,-118.524352557153,census
FA0265780,34.032544448443,-118.359906688044,census
FA0137584,34.18786503259,-118.131755425458,census
FA0035436,34.045243618714,-118.249777754394,census
FA0296048,34.03191071581,-118.445225496644,census
FA0035432,34.033363438729,-118.189609838122,census
FA0003846,34.05001013593,-118.460072627544,census
FA0290738,34.235548436213,-118.535009649744,census
FA0150560,34.209028339565,-118.610253881991,census
FA0226173,33.901318645112,-118.352810957116,census
FA0251147,33.862279088113,-118.092830668236,census
FA0307263,34.044332333305,-118.202024839867,census
FA0260096,34.101637635974,-117.770140085625,census
FA0015834,34.055798495565,-118.178708488278,census
FA0275117,34.002597623164,-118.406440373988,census
FA0137582,34.703930515675,-118.166120400302,census
FA0240491,34.135971577252,-118.054182070973,census
FA0057699,33.992514207786,-118.112791532366,census
FA0035449,34.043526852735,-118.30506039175,census
FA0060403,34.055007227499,-118.242849504687,census
FA0301972,34.027570142962,-118.474837074298,census
FA0265770,34.151281026274,-118.002301606971,census
FA0319242,34.16647023894,-118.323805720178,census
FA0003838,34.220798008484,-118.53520068258,census
FA0067048,34.140233024764,-118.021737376484,census
FA0319249,34.148423970933,-118.798018911568,census
FA0320235,34.042078447397,-118.263296150836,census
FA0321566,33.860383454235,-118.123350932004,census
FA0288432,34.026127570715,-118.360868946484,census
FA0321563,34.09500706307,-117.717966117656,census
FA0044381,34.063765440877,-118.286972641583,census
FA0048742,34.69683257882,-118.136621608722,census
FA0290748,34.106659931295,-117.846278738882,census
FA0321560,34.076329746398,-118.22209617887,census
FA0035416,33.973203899872,-118.079410877807,census
FA0060417,34.090808820116,-118.349745702879,census
FA0009169,34.06702829325,-118.413245643169,census
FA0036743,33.757456275906,-118.311493938791,census
FA0032381,34.069093440777,-118.295572942198,census
FA0174510,34.073147901124,-118.374885181915,census
FA0170154,34.049826974166,-118.257795220667,census
FA0024768,33.971002248716,-118.072178220009,census
FA0319238,34.097948272871,-118.364564580168,census
FA0325913,33.997099908328,-117.813473814172,census
